t_Android;t_unix;x;y;z;a
437931279546902;1709137853795;0.6547361;-4.039982;9.29163;3
437931282019037;1709137853798;0.6547361;-4.039982;9.29163;3
437931284491121;1709137853801;0.6547361;-4.039982;9.29163;3
437931286963204;1709137853803;0.6547361;-4.039982;9.29163;3
437931289435287;1709137853805;0.6547361;-4.039982;9.29163;3
437931291907423;1709137853808;0.6547361;-4.039982;9.29163;3
437931294379506;1709137853811;0.6547361;-4.039982;9.29163;3
437931296851589;1709137853813;0.6547361;-4.039982;9.29163;3
437931299323673;1709137853815;0.6547361;-4.039982;9.29163;3
437931301795808;1709137853818;0.6547361;-4.039982;9.29163;3
437931304267891;1709137853820;0.6547361;-4.039982;9.29163;3
437931306739975;1709137853823;0.6547361;-4.039982;9.29163;3
437931309212058;1709137853825;0.6547361;-4.039982;9.29163;3
437931311684193;1709137853828;0.6547361;-4.039982;9.29163;3
437931314156277;1709137853830;0.6547361;-4.039982;9.29163;3
437931316628360;1709137853833;0.6547361;-4.039982;9.29163;3
437931319100496;1709137853835;0.6547361;-4.039982;9.29163;3
437931321572579;1709137853838;0.6547361;-4.039982;9.29163;3
437931324044662;1709137853841;0.6547361;-4.039982;9.29163;3
437931326516746;1709137853842;0.6547361;-4.039982;9.29163;3
437931328988881;1709137853845;0.6547361;-4.039982;9.29163;3
437931331460964;1709137853847;0.6547361;-4.039982;9.29163;3
437931333933048;1709137853850;0.6547361;-4.039982;9.29163;3
437931336405183;1709137853852;0.6547361;-4.039982;9.29163;3
437931338877266;1709137853855;0.6547361;-4.039982;9.29163;3
437931341349350;1709137853857;0.6547361;-4.039982;9.29163;3
437931343821433;1709137853860;0.6547361;-4.039982;9.29163;3
437931346293568;1709137853862;0.6547361;-4.039982;9.29163;3
437931348765652;1709137853865;0.6547361;-4.039982;9.29163;3
437931351237735;1709137853867;0.6547361;-4.039982;9.29163;3
437931353709818;1709137853870;0.6547361;-4.039982;9.29163;3
437931356181954;1709137853872;0.6547361;-4.039982;9.29163;3
437931358654037;1709137853875;0.6547361;-4.039982;9.29163;3
437931361126121;1709137853877;0.6547361;-4.039982;9.29163;3
437931363598256;1709137853880;0.6547361;-4.039982;9.29163;3
437931366070339;1709137853882;0.6547361;-4.039982;9.29163;3
437931368542423;1709137853885;0.6547361;-4.039982;9.29163;3
437931371014506;1709137853887;0.6547361;-4.039982;9.29163;3
437931373486641;1709137853889;0.6547361;-4.039982;9.29163;3
437931375958725;1709137853892;0.6547361;-4.039982;9.29163;3
437931378430808;1709137853895;0.6547361;-4.039982;9.29163;3
437931380902891;1709137853897;0.6547361;-4.039982;9.29163;3
437931383375027;1709137853899;0.6547361;-4.039982;9.29163;3
437931385847110;1709137853902;0.6547361;-4.039982;9.29163;3
437931388319193;1709137853904;0.6547361;-4.039982;9.29163;3
437931390791277;1709137853907;0.6547361;-4.039982;9.29163;3
437931393263412;1709137853909;0.6547361;-4.039982;9.29163;3
437931395735496;1709137853912;0.6547361;-4.039982;9.29163;3
437931398207579;1709137853914;0.6547361;-4.039982;9.29163;3
437931400679714;1709137853917;0.6547361;-4.039982;9.29163;3
